1,Emily Lightle,fgNd9A9t,5,Albany
2,Clorinda Bever,2LfkW2A4,5,Albuquerque
3,September Parkins,3E7BtH6d,5,Amarillo
4,Celeste Benning,DeAUhLf9,5,Anchorage
5,Lavinia Shamburger,V7sqeHAm,5,Atlanta
6,Cherry Whitener,Vda3dCbJ,5,Albany
7,Edwina Gamon,nJh3Wa5b,5,Albuquerque
8,Thomas Beam,C2pJkCQn,5,Amarillo
9,Parthenia Waechter,X7AfQV9E,5,Amarillo
10,Milo Hewitt,CPD9n9qD,5,Amarillo
11,Margert Selvy,NzaMmd7G,5,Albuquerque
12,Angelique Ziegler,qf8JF9BN,5,Amarillo
13,Maybelle Hilgendorf,r4DBGxhM,5,Amarillo
14,Krista Vidrine,3ra2hCUq,5,Amarillo
15,Jaclyn Esters,36MFmANX,5,Albuquerque
16,Janean Nicolay,T4WHfbe,5,Amarillo
17,Glendora Coldren,85tMMz,5,Albuquerque
18,Jackelyn Howse,jD49c,5,Amarillo
19,Magdalen Jonason,vTQ3LD5,5,Amarillo
20,Pete Brickner,BNg56Sb,5,Albuquerque
21,Emilia Ensminger,pL5V9g,5,Amarillo
22,Raelene Montandon,BS3cX,5,Atlanta
23,Mauro Vargas,Dukey7725,5,Amarillo
